应收ID,抄表记录ID,用户ID,地址ID,燃气表ID,费用生成日期,费用截止日期,应收账期,费用类型,本次应收,滞纳金,减免后滞纳金,应收状态,备注,流水ID,应收生成人员ID,取消人员ID
989478,989478,02010606,02010606,02010606,2017-08-04,2017-09-25,N/A,燃气使用费,26.60,0.00,0.00,2,N/A,989478,13,N/A
1021805,1021805,02010606,02010606,02010606,2017-09-05,2017-10-25,N/A,燃气使用费,38.00,0.00,0.00,2,N/A,1021805,14,N/A
1053784,1053784,02010606,02010606,02010606,2017-10-06,2017-11-25,N/A,燃气使用费,45.60,0.00,0.00,2,N/A,1053784,11,N/A
1084152,1084152,02010606,02010606,02010606,2017-11-04,2017-12-25,N/A,燃气使用费,11.40,0.00,0.00,2,N/A,1084152,12,N/A
1113860,1113860,02010606,02010606,02010606,2017-12-04,2018-01-25,N/A,燃气使用费,7.60,0.00,0.00,2,N/A,1113860,18,N/A
841228,841228,02010607,02010607,02010607,2017-03-03,2017-04-25,N/A,燃气使用费,60.80,0.00,0.00,2,N/A,841228,14,N/A
872263,872263,02010607,02010607,02010607,2017-04-05,2017-05-25,N/A,燃气使用费,678.30,0.00,0.00,2,N/A,872263,11,N/A
894174,894174,02010607,02010607,02010607,2017-05-03,2017-06-25,N/A,燃气使用费,518.70,0.00,0.00,2,N/A,894174,14,N/A
920552,920552,02010607,02010607,02010607,2017-06-02,2017-07-25,N/A,燃气使用费,364.80,0.00,0.00,2,N/A,920552,11,N/A
956780,956780,02010607,02010607,02010607,2017-07-04,2017-08-25,N/A,燃气使用费,267.90,0.00,0.00,2,N/A,956780,14,N/A
1134768,1134768,02010607,02010607,02010607,2017-12-11,2018-01-25,N/A,燃气使用费,2.85,0.00,0.00,2,N/A,1134768,11,N/A
1053788,1053788,02010608,02010608,02010608,2017-10-06,2017-11-25,N/A,燃气使用费,311.60,0.00,0.00,2,N/A,1053788,11,N/A
1084158,1084158,02010608,02010608,02010608,2017-11-04,2017-12-25,N/A,燃气使用费,66.50,0.00,0.00,2,N/A,1084158,17,N/A
1113865,1113865,02010608,02010608,02010608,2017-12-04,2018-01-25,N/A,燃气使用费,85.50,0.00,0.00,2,N/A,1113865,18,N/A
